VendorId, ServiceId, ProductId, CircleCode, MSISDN, Provisioned-ServiceId, ResultCode, Result Description,Time
1,60160023,7515,NESA,9.18E+11,60160023,124,Below minimum balance,33:43.5
1,7054000023,10998,UPE,9.18E+11,7054000023,124,Below minimum balance,33:43.5
1,405200500,6236,BIH,9.18E+11,405200500,0,Response Success,33:43.6
1,102100558,11028,DEL,9.18E+11,102100558,124,Below minimum balance,33:43.6
1,601600900,6143,NESA,9.18E+11,601600900,124,Below minimum balance,33:43.6
1,30530023,7517,OR,9.18E+11,30530023,124,Below minimum balance,33:43.8
1,50560023,7521,AS,9.18E+11,50560023,124,Below minimum balance,33:44.1
1,2051260,7565,WB,9.18E+11,2051260,0,Response Success,33:45.4
1,505626,7552,AS,9.18E+11,505626,124,Below minimum balance,33:46.0
1,705426,11085,UPE,9.18E+11,705426,124,Below minimum balance,33:46.1
1,405226,7571,BIH,9.18E+11,405226,124,Below minimum balance,33:46.1
1,405226,7571,BIH,9.18E+11,405226,124,Below minimum balance,33:46.1
1,6016001800,6187,NESA,9.18E+11,6016001800,124,Below minimum balance,33:46.1
1,6016001400,6520,NESA,9.18E+11,6016001400,0,Response Success,33:46.1
1,40520023,7520,BIH,9.18E+11,40520023,0,Response Success,33:46.1
1,601600900,6143,NESA,9.18E+11,601600900,124,Below minimum balance,33:46.2
1,2051260,7565,WB,9.18E+11,2051260,124,Below minimum balance,33:46.7
1,505600900,6200,AS,9.18E+11,505600900,0,Response Success,33:46.7
1,705426,11085,UPE,9.18E+11,705426,124,Below minimum balance,33:46.9
1,60100023,11000,DEL,9.18E+11,60100023,124,Below minimum balance,33:46.9
1,30530023,7517,OR,9.18E+11,30530023,124,Below minimum balance,33:46.9
1,505626,7552,AS,9.18E+11,505626,124,Below minimum balance,33:46.9
1,80970023,11012,UPW,9.18E+11,80970023,124,Below minimum balance,33:46.9
1,7054000023,10998,UPE,9.18E+11,7054000023,124,Below minimum balance,33:47.0
1,705426,11085,UPE,9.18E+11,705426,124,Below minimum balance,33:48.8
1,601626,7574,NESA,9.18E+11,601626,124,Below minimum balance,33:48.8
1,505626,7552,AS,9.18E+11,505626,124,Below minimum balance,33:49.3
1,601600900,6143,NESA,9.18E+11,601600900,124,Below minimum balance,33:49.3
1,601626,7574,NESA,9.18E+11,601626,124,Below minimum balance,33:49.6
1,505626,7552,AS,9.18E+11,505626,124,Below minimum balance,33:49.6
1,601626,7574,NESA,9.18E+11,601626,124,Below minimum balance,33:49.6
1,60160023,7515,NESA,9.18E+11,60160023,124,Below minimum balance,33:49.6
1,20510023,7523,WB,9.18E+11,20510023,124,Below minimum balance,33:49.7
1,50560023,7521,AS,9.18E+11,50560023,124,Below minimum balance,33:49.8
1,305300900,6106,OR,9.18E+11,305300900,0,Response Success,33:50.1
1,7054000023,10998,UPE,9.18E+11,7054000023,0,Response Success,33:50.4
1,8097093,10848,UPW,9.18E+11,8097093,124,Below minimum balance,33:50.5
1,601626,7574,NESA,9.18E+11,601626,0,Response Success,33:50.5
1,100226,11099,PB,9.18E+11,100226,124,Below minimum balance,33:50.5
1,505626,7552,AS,9.18E+11,505626,124,Below minimum balance,33:50.8
1,4052002100,6234,BIH,9.18E+11,4052002100,0,Response Success,33:50.8
1,505626,7552,AS,9.18E+11,505626,124,Below minimum balance,33:50.8
1,60160023,7515,NESA,9.18E+11,60160023,0,Response Success,33:51.0
1,505626,7552,AS,9.18E+11,505626,124,Below minimum balance,33:51.0
1,50560023,7521,AS,9.18E+11,50560023,124,Below minimum balance,33:51.3
1,601600900,6143,NESA,9.18E+11,601600900,124,Below minimum balance,33:51.6
1,505626,7552,AS,9.18E+11,505626,124,Below minimum balance,33:51.6
1,50560023,7521,AS,9.18E+11,50560023,124,Below minimum balance,33:51.6
1,50560023,7521,AS,9.18E+11,50560023,124,Below minimum balance,33:52.0
1,10020023,11006,PB,9.18E+11,10020023,124,Below minimum balance,33:52.0
1,601626,7574,NESA,9.18E+11,601626,124,Below minimum balance,33:52.0
1,6016001800,6187,NESA,9.18E+11,6016001800,0,Response Success,33:52.0
1,20510023,7523,WB,9.18E+11,20510023,124,Below minimum balance,33:52.2
1,8090726,11100,UPW,9.18E+11,8090726,124,Below minimum balance,33:52.2
1,2051260,7565,WB,9.18E+11,2051260,124,Below minimum balance,33:52.6
1,8090726,11100,UPW,9.18E+11,8090726,124,Below minimum balance,33:52.7
1,100226,11099,PB,9.18E+11,100226,124,Below minimum balance,33:52.9
1,505626,7552,AS,9.18E+11,505626,124,Below minimum balance,33:52.9
1,60160001900,6946,NESA,9.18E+11,60160001900,0,Response Success,33:52.9
1,60160023,7515,NESA,9.18E+11,60160023,124,Below minimum balance,33:53.1
1,505626,7552,AS,9.18E+11,505626,124,Below minimum balance,33:53.1
1,80970023,11012,UPW,9.18E+11,80970023,124,Below minimum balance,33:53.2
