VendorId, ServiceId, ProductId, CircleCode, MSISDN, Provisioned-ServiceId, ResultCode, Result Description,Time
1,1049001900,5570,AP,916309132366,1049001900,124,Below minimum balance,2019-03-24 01:11:14.527
1,1049001900,5570,AP,916309070091,1049001900,124,Below minimum balance,2019-03-24 01:11:15.617
1,104900900,4305,AP,916309132366,104900900,124,Below minimum balance,2019-03-24 01:11:15.641
1,104900900,4305,AP,916309092684,104900900,0,Response Success,2019-03-24 01:11:15.641
1,104900900,4305,AP,916309080256,104900900,0,Response Success,2019-03-24 01:11:15.642
1,1049001900,5570,AP,916309247588,1049001900,124,Below minimum balance,2019-03-24 01:11:15.644
1,40930023,9190,MP,916232557673,40930023,405914555,Below minimum balance,2019-03-24 01:11:15.645
1,104900900,4305,AP,916309095186,104900900,124,Below minimum balance,2019-03-24 01:11:15.646
1,40930023,9190,MP,916232540802,40930023,405914555,Below minimum balance,2019-03-24 01:11:15.646
1,10490007,4280,AP,916309133954,10490007,0,Response Success,2019-03-24 01:11:15.862
1,104900900,4305,AP,916309325852,104900900,124,Below minimum balance,2019-03-24 01:11:16.268
1,1049001900,5570,AP,916309390773,1049001900,124,Below minimum balance,2019-03-24 01:11:16.347
1,1049001900,5570,AP,916309321922,1049001900,124,Below minimum balance,2019-03-24 01:11:16.395
1,10490007,4280,AP,916309371440,10490007,1106,If any exception occur while executing FDP flow,2019-03-24 01:11:16.479
1,104900900,4305,AP,916309281086,104900900,124,Below minimum balance,2019-03-24 01:11:16.574
1,104900900,4305,AP,916309319922,104900900,124,Below minimum balance,2019-03-24 01:11:16.629
1,10490008,4456,AP,916309382993,10490008,1106,If any exception occur while executing FDP flow,2019-03-24 01:11:16.676
1,1049001900,5570,AP,916309272069,1049001900,124,Below minimum balance,2019-03-24 01:11:16.795
1,1049001900,5570,AP,916309264926,1049001900,124,Below minimum balance,2019-03-24 01:11:17.139
1,104900900,4305,AP,916309390773,104900900,124,Below minimum balance,2019-03-24 01:11:17.259
1,1049001900,5570,AP,916309538463,1049001900,124,Below minimum balance,2019-03-24 01:11:18.891
1,10490007,4280,AP,916309524374,10490007,1106,If any exception occur while executing FDP flow,2019-03-24 01:11:18.964
1,10490006,4276,AP,916309496937,10490006,0,Response Success,2019-03-24 01:11:19.152
1,1049001900,5570,AP,916309486106,1049001900,124,Below minimum balance,2019-03-24 01:11:19.218
